catalog,key,comment,translation
app,"De backup bevat actieve en afgeronde items, herhalingen en instellingen. Voor een herstelactie wordt eerst nog een kopie van de huidige gegevens gemaakt.",,"De backup bevat actieve en afgeronde items, herhalingen en instellingen. Voor een herstelactie wordt eerst nog een kopie van de huidige gegevens gemaakt."
app,"De bovenste link verschijnt klikbaar in het overzicht. Na het invullen verschijnt automatisch een volgend veld, tot maximaal vijf links.",,"De bovenste link verschijnt klikbaar in het overzicht. Na het invullen verschijnt automatisch een volgend veld, tot maximaal vijf links."
app,De datum varieert voorspelbaar rond deze periode.,,De datum varieert voorspelbaar rond deze periode.
app,De lockscreen-widget is beschikbaar op iPhone 11 en nieuwere modellen en op iPhone SE (2e generatie) en nieuwer. Houd het toegangsscherm ingedrukt en tik op Pas aan › Toegangsscherm › Voeg widgets toe. Kies daarna de widget van Don’t forget.,,De toegangsschermwidget is beschikbaar op iPhone 11 en nieuwere modellen en op iPhone SE (2e generatie) en nieuwer. Houd het toegangsscherm ingedrukt en tik op Pas aan › Toegangsscherm › Voeg widgets toe. Kies daarna de widget van Forget It.
app,De standaardselectie van het nieuwe land vervangt je huidige geselecteerde feestdagen. Eigen feestdagen worden niet verwijderd.,,De standaardselectie van het nieuwe land vervangt je huidige geselecteerde feestdagen. Eigen feestdagen worden niet verwijderd.
app,De wijziging wordt actief nadat je de app volledig hebt afgesloten en opnieuw hebt geopend.,,De wijziging wordt actief nadat je de app volledig hebt afgesloten en opnieuw hebt geopend.
app,Definitief verwijderen,,Definitief verwijderen
app,Demodata activeren,,Demodata activeren
app,Demodata verwijderen,,Demodata verwijderen
app,Derde,,Derde
app,Deselecteer alles,,Deselecteer alles
app,Details,,Details
app,Deze Mac gebruikt dezelfde private iCloud-container als je iPhone en iPad. Wijzigingen worden automatisch op alle apparaten bijgewerkt.,,Deze Mac gebruikt dezelfde private iCloud-container als je iPhone en iPad. Wijzigingen worden automatisch op alle apparaten bijgewerkt.
app,Deze leeftijd hoort niet bij een geboortejaar met 29 februari. Kies een passende leeftijd.,,Deze leeftijd hoort niet bij een geboortejaar met 29 februari. Kies een passende leeftijd.
app,Deze reminder gebruikt dezelfde kleur als de verjaardagscategorie.,,Deze herinnering gebruikt dezelfde kleur als de verjaardagscategorie.
app,Direct spraak opnemen,,Direct spraak opnemen
app,Dit is een voorbeeld,,Dit is een voorbeeld
app,Don't Forget,,Forget It
app,Don't forget,,Forget It
app,Doorgaan,,Doorgaan
app,Doorgaan zonder Apple ID,,Doorgaan zonder Apple ID
app,Doorlopen op nieuwe regel,,Doorlopen op nieuwe regel
app,Druk op de Actieknop,,Druk op de Actieknop
app,Een geel gearceerde weekdag bevat een tijd en blijft binnen de dag automatisch op tijd gesorteerd.,,Een geel gemarkeerde weekdag bevat een tijd. Items met een tijd worden binnen die dag automatisch op volgorde gezet.
app,Een landwissel vervangt deze selectie. Eigen feestdagen blijven bewaard. Data uit de islamitische kalender kunnen door lokale maanwaarneming één dag verschillen.,,Een landwissel vervangt deze selectie. Eigen feestdagen blijven bewaard. Data uit de islamitische kalender kunnen door lokale maanwaarneming één dag verschillen.
app,Een positie omhoog,,Een positie omhoog
app,Een positie omlaag,,Een positie omlaag
app,"Een volledige backup bevat actieve en afgeronde items, herhalingen en instellingen. CSV is alleen bedoeld als leesbaar historie-overzicht.",,"Een volledige backup bevat actieve en afgeronde items, herhalingen en instellingen. CSV is alleen bedoeld als leesbaar historie-overzicht."
app,Eenheid,,Eenheid
app,Eerste,,Eerste
app,Eerste herhaling toevoegen,,Eerste herhaling toevoegen
app,Eerste verjaardag toevoegen,,Eerste verjaardag toevoegen
app,Eerstvolgende datum,,Eerstvolgende datum
app,Eigen feestdag,,
app,Eigen feestdag toevoegen,,Eigen feestdag toevoegen
app,Eigen feestdagen kun je ook toevoegen met de plusknop bij de oranje categorie.,,Eigen feestdagen kun je ook toevoegen met de plusknop bij de oranje categorie.
app,Einde-dagherinnering,,Einde-dagherinnering
app,Elk kwartaal,,Elk kwartaal
app,Elke %lld,,Elke %lld
app,Elke %llde van de maand,,Elke %llde van de maand
app,Er is geen tekst ingevoerd.,,Er is geen tekst ingevoerd.
app,Er is nog geen automatische veiligheidskopie beschikbaar.,,Er is nog geen automatische veiligheidskopie beschikbaar.
app,Exporteren mislukt,,Exporteren mislukt
app,Extra notitie...,,Extra notitie...
app,Eén dag meer,,Eén dag meer
app,Eén dag minder,,Eén dag minder
app,Feestdag op vaste dag,,Feestdag op vaste dag
app,Feestdagen,,Feestdagen
app,Feestdagen kiezen,,Feestdagen kiezen
app,Flexibel (ongeveer),,Flexibel (ongeveer)
app,Frequentie,,Frequentie
app,Ga terug naar de kalender om je herhaling te vinden. Een herhaling wordt steeds opnieuw vooruit gepland.,,Ga terug naar de agenda om je herhaling te bekijken. De app plant deze automatisch eindeloos vooruit.
app,Geboortedatum,,Geboortedatum
app,Geboortejaar,,Geboortejaar
app,Geboortejaar onzeker,,Geboortejaar onzeker
app,"Gebruik de controls, of tik op een andere weekdag om direct te verplaatsen.",,"Gebruik de knoppen om te verplaatsen, of tik op een andere weekdag om het direct daar te plaatsen."
app,Gebruik de filterknoppen om alleen afgeronde items van een bepaalde tab te zien.,,Gebruik de filters om alleen afgeronde items uit een bepaalde tab te zien.
app,Gebruik deze plaats,,Gebruik deze plaats
app,Gebruik mijn huidige locatie,,Gebruik mijn huidige locatie
app,Geef ‘Don’t forget’ toestemming voor meldingen via de iOS-instellingen.,,Geef ‘Forget It’ toestemming voor meldingen via de iOS-instellingen.
app,Geel,,Geel
app,Geen afgeronde %@-items,,Geen afgeronde %@-items
app,Geen andere categorieën,,Geen andere categorieën
app,Geen iCloud-account aangemeld; gegevens blijven alleen op dit apparaat,,Geen iCloud-account aangemeld; gegevens blijven alleen op dit apparaat
app,Geen openstaande taken voor vandaag,,Geen openstaande taken voor vandaag
app,Geen toegang. Je kunt dit later wijzigen in iOS-instellingen.,,Geen toegang. Je kunt dit later wijzigen in iOS-instellingen.
app,Geen zoekresultaten,,Geen zoekresultaten
app,Gegevens niet geopend,,Gegevens niet geopend
app,Gereed,,Gereed
app,Gisteren,,Gisteren
app,Grafieken inklappen,,Grafieken inklappen
app,Grafieken uitklappen,,Grafieken uitklappen
app,Grey,,Grijs
app,Grijs,,Grijs
app,Groen,,Groen
app,Groep,,Groep
app,Groepsnaam,,Groepsnaam
app,Hele app openen,,Hele app openen
app,Hele app resetten,,Hele app resetten
app,Hele app resetten?,,Hele app resetten?
app,Herhaling,,Herhaling
app,Herhaling toevoegen,,Herhaling toevoegen
app,Herhaling toevoegen aan %@,,Herhaling toevoegen aan %@
app,Herhalingen,,Herhalingen
app,Herhalingen beheren,,Herhalingen beheren
app,Heropen de app,,Open de app opnieuw
app,Hoe lang open; klik voor verplaatsen,,Hoe lang open; klik voor verplaatsen
app,Houd 3 seconden ingedrukt om de hele app te resetten.,,Houd 3 seconden ingedrukt om de hele app te resetten.
app,Houd 3 seconden ingedrukt om demodata te activeren.,,Houd 3 seconden ingedrukt om demodata te activeren.
app,Huidige gegevens vervangen?,,Huidige gegevens vervangen?
app,Huidige leeftijd,,Huidige leeftijd
app,Huidige selectie overschrijven?,,Huidige selectie vervangen?
app,Hulp nodig? Stuur ons een ,,Idee voor de app? Stuur ons een 
app,Hulp nodig? Stuur ons een email,,Idee voor de app? Stuur ons een e-mail
app,Icoon,,Icoon
app,Icoon en kleur wijzigen,,Icoon en kleur wijzigen
app,Iets afgerond? Tik op de cirkel rechts. Het verhuist naar Afgerond.,,Iets afgerond? Tik op de cirkel rechts. Het item wordt dan verplaatst naar de laatste categorie: Afgerond.
app,In niet-schrikkeljaren wordt de verjaardag op 28 februari getoond.,,In niet-schrikkeljaren wordt de verjaardag op 28 februari getoond.
app,Indigo,,Indigo
app,Ingeklapt,,Ingeklapt
app,Inhoud,,Inhoud
app,Instellingen,,Instellingen
app,Invoer,,Invoer
app,Islamitische kalender,,Islamitische kalender
app,Item at %@,,Item op %@
app,Item verplaatst\nnaar Afgerond,,Item verplaatst\nnaar Afgerond
app,Items ouder dan de gekozen periode worden verwijderd. Eerst wordt automatisch een volledige veiligheidskopie gemaakt.,,Items ouder dan de gekozen periode worden verwijderd. Eerst wordt automatisch een volledige veiligheidskopie gemaakt.
app,Ja graag,,Ja graag
app,Jaar,,Jaar
app,Jaarlijks (jubileum),,Jaarlijks (jubileum)
app,Jaren,,Jaren
app,Je agenda staat klaar voor alles wat komt.,,Deze kalender heeft geen geheimen meer voor jou. Tijd om leuke dingen te plannen!
app,Je gegevens worden privé via iCloud bewaard en automatisch teruggezet op je Apple-apparaten.,,Je gegevens worden privé via iCloud bewaard en automatisch teruggezet op je Apple-apparaten.
app,"Je gegevens zijn niet verwijderd. Sluit de app niet opnieuw af en installeer hem niet opnieuw. Probeer het nogmaals of neem contact op met support.

%@",,"Je gegevens zijn niet verwijderd. Sluit de app niet opnieuw af en installeer hem niet opnieuw. Probeer het nogmaals of neem contact op met support.

%@"
app,Je hebt je taken helemaal in de hand.,,Deze taak mag van je lijstje. Je hoeft niks meer te onthouden: vanaf nu schrijf je het gewoon hierop.
app,Je herhalingen regelen voortaan zichzelf.,,Lekker bezig! Hier regel je alle taken die terugkomen. Ze worden eindeloos doorgepland op basis van jouw instellingen.
app,"Je krijgt een overzicht van de openstaande taken van vandaag. Zijn er geen openstaande taken, dan wordt op de geplande tijd niets verstuurd. De melding is mogelijk niet zichtbaar als je telefoon in slaap- of nachtmodus staat.",,"Je krijgt een overzicht van de openstaande taken van vandaag. Zijn er geen openstaande taken, dan wordt op de geplande tijd niets verstuurd. De melding is mogelijk niet zichtbaar als je telefoon in Slaap of een andere focusmodus staat."
app,Je land is automatisch gekozen op basis van je regio. Zet de schakelaar uit om ook feestdagen en vieringen uit andere landen te zien.,,Je land is automatisch gekozen op basis van je regio. Zet de schakelaar uit om ook feestdagen en vieringen uit andere landen te zien.
app,Je locatie wordt alleen gebruikt om het weer op te halen. De gekozen plaats wordt op dit apparaat bewaard.,,Je locatie wordt alleen gebruikt om het weer op te halen. De gekozen plaats wordt op dit apparaat bewaard.
app,Je weet nu precies hoe Afgerond werkt.,,"Dat was ’m! Veel plezier met de app. Deel hem ook met vrienden en familie, hij is helemaal gratis."
app,Kalender,,Kalender
app,Kalender + taken,,Kalender + taken
app,Kalender synchroniseren…,,Kalender synchroniseren…
app,Kalender vandaag,,Kalender vandaag
app,Kalenderperiode,,Kalenderperiode
app,Kalenderweergave,,Kalenderweergave
app,Kies datum,,Kies datum
app,Kies een datum,,Kies een datum
app,Kies hoe Don’t forget de plaats voor je weersverwachting bepaalt.,,Kies hoe Forget It de plaats voor je weersverwachting bepaalt.
app,Klaar met verplaatsen,,Klaar met verplaatsen
app,Kleur,,Kleur
app,Kleur en icoon van %@ aanpassen,,Kleur en icoon van %@ aanpassen
app,Kleur voor %@,,Kleur voor %@
app,Kleuren,,Kleuren
app,Koppel Don't forget veilig aan je Apple-account. Je kunt deze koppeling later weer uitschakelen.,,Koppel Forget It veilig aan je Apple-account. Je kunt deze koppeling later weer uitschakelen.
app,Laat alleen lokale feestdagen zien,,Laat alleen lokale feestdagen zien
app,Laatste,,Laatste
app,Laatste veiligheidskopie bewaren,,Laatste veiligheidskopie bewaren
app,Laatste veiligheidskopie terugzetten,,Laatste veiligheidskopie terugzetten
app,Laatste wijziging terugdraaien,,Laatste wijziging terugdraaien
app,Lange tekst,,Lange tekst
app,Later,,Later
app,Later aanpasbaar in Instellingen,,Later aanpasbaar in Instellingen
app,Leeftijd,,Leeftijd
app,Leeftijd/jaar,,Leeftijd/jaar
app,Leeftijd/jaar onzeker,,Leeftijd/jaar onzeker
app,Leeg linkveld verwijderen,,Leeg linkveld verwijderen
app,Lichtblauw,,Lichtblauw
app,Lichtblauwe widgetkleur,,Lichtblauwe widgetkleur
app,Light blue,,Lichtblauw
app,Lijst,,Lijst
app,Link %lld,,Link %lld
app,Link verwijderen,,Link verwijderen
app,Linknaam aanpassen,,Linknaam aanpassen
app,Links,,Links
app,Locatie bepalen…,,Locatie bepalen…
app,Lockscreen-widget,,Toegangsschermwidget
app,Lockscreen-widget configureren,,Toegangsschermwidget configureren
app,Log in met Apple ID,,Log in met Apple ID
app,Luistert…,,Luistert…
app,Maak binnen je categorie een nieuwe herhaling door op het plusje te tikken.,,Tik binnen je categorie op het plusje om een nieuwe herhaling te maken.
app,Maak een eigen feestdag met een vaste datum of een weekdag van de maand.,,
app,Maak een taak in een categorie door in het invoerveld iets te schrijven.,,Schrijf iets in het invoerveld van een categorie om daar een taak te maken.
app,Maak zelf een categorie. Tik op de tekst in het nieuwe blok en kies een naam.,,Maak je eigen categorie. Tik op de tekst in het nieuwe blok en geef de categorie een naam.
app,Maand,,Maand
app,Maandag,,Maandag
app,Maandelijks op datum,,Maandelijks op datum
app,Maandelijks op weekdag,,Maandelijks op weekdag
app,Maanden,,Maanden
app,Markeer als afgerond,,Markeer als afgerond
app,Melding,,Melding
app,Meldingen niet beschikbaar,,Meldingen niet beschikbaar
app,Met -,,Met -
app,Met …,,Met …
app,Na 1 jaar,,Na 1 jaar
app,Na 1 maand,,Na 1 maand
app,Na 1 week,,Na 1 week
app,Naam,,Naam
app,Naar agenda,,Naar agenda
app,Naar agenda verplaatsen,,Naar agenda verplaatsen
app,Naar agenda...,,Naar agenda...
app,Naar vandaag,,Naar vandaag
app,Naar vandaag %@,,Naar vandaag %@
app,Niet,,Geen
app,Nieuw,,Nieuw
app,Nieuw agenda-item,,Nieuw agenda-item
app,Nieuw item,,Nieuw item
app,Nieuwe categorie,,Nieuwe categorie
app,Nieuwe categorie invoeren,,Nieuwe categorie invoeren
app,Nieuwe datum,,Nieuwe datum
app,Nieuwe groep,,Nieuwe groep
app,Nieuwe herhaling,,Nieuwe herhaling
app,Nieuwe taak,,Nieuwe taak
app,Nieuwe taak invoeren,,Nieuwe taak invoeren
app,Nieuwe to-do,,Nieuwe to-do
app,Nog niets afgerond,,Nog niets afgerond
app,Nog veel meer handige instellingen vind je achter het menu rechtsbovenin.,,In het menu rechtsboven vind je nog meer handige instellingen.
app,Nooit,,Nooit
app,Notitie,,Notitie
app,Notities,,Notities
app,Nu %lld jaar,,Nu %lld jaar
app,OK,,OK
app,Of stel zelf een plaats in,,Of stel zelf een plaats in
app,Omhoog,,Omhoog
app,Omhoog verplaatsen,,Omhoog verplaatsen
app,Omlaag,,Omlaag
app,Omlaag verplaatsen,,Omlaag verplaatsen
app,Omschrijving,,Omschrijving
app,Onbekende iCloud-status,,Onbekende iCloud-status
app,Ongedaan maken,,Ongedaan maken
app,Ongeveer / spontaan,,Ongeveer / spontaan
app,Ongeveer dagelijks,,Ongeveer dagelijks
app,Ongeveer jaarlijks,,Ongeveer jaarlijks
app,Ongeveer maandelijks,,Ongeveer maandelijks
app,Ongeveer wekelijks,,Ongeveer wekelijks
app,Onzeker,,Onzeker
app,Ook toekomstige items verplaatsen,,Ook toekomstige items verplaatsen
app,Open kalender,,Open kalender
app,Open link,,Open link
app,Openen,,Openen
app,Opent direct een invoerveld voor een nieuwe taak.,,Opent direct een invoerveld voor een nieuwe taak.
app,Opnieuw,,Opnieuw
app,Opnieuw proberen,,Opnieuw proberen
app,Oranje,,Oranje
app,Oude geschiedenis opruimen?,,Oude geschiedenis opruimen?
app,Overschrijf,,Overschrijf
app,Overzicht,,Overzicht
app,Paars,,Paars
app,Pas de volgorde van categorieën aan via de chevrons.,,Gebruik de pijltjes om de volgorde van je categorieën aan te passen.
app,Pas het icoon en de kleur van je categorie aan door op het logo te tikken.,,Tik op het logo om het icoon en de kleur van je categorie aan te passen.
app,Periode,,Periode
app,Persoonlijk,,Persoonlijk
app,"Plaats, bijvoorbeeld Amsterdam",,"Plaats, bijvoorbeeld Amsterdam"
app,Plak link,,Plak link
app,Probeer een andere zoekopdracht of wis de zoekbalk.,,Probeer een andere zoekopdracht of wis de zoekbalk.
app,Probeer weer opnieuw,,Probeer weer opnieuw
app,Recurring,,Herhalingen
app,Regel,,Regel
app,Regel bewerken,,Regel bewerken
app,Reminder vooraf,,Herinnering vooraf
app,Reset alles,,Reset alles
app,Resetten mislukt,,Resetten mislukt
app,Rond Pasen,,Rond Pasen
app,Rood,,Rood
app,Roze,,Roze
app,Schrijf een ,,Schrijf een 
app,Schrijf een review over de app,,Schrijf een review over de app
app,Select an item,,Selecteer een item
app,Selecteer alles,,Selecteer alles
app,Selecteer een item,,Selecteer een item
app,Selectie,,Selectie
app,Sla snelle invoer op,,Sla snelle invoer op
app,Slimme weergave,,Slimme weergave
app,Sluiten,,Sluiten
app,Snel toevoegen,,Snel toevoegen
app,Snelle invoer,,Snelle invoer
app,Sorteer eerstvolgende bovenaan,,Eerstvolgende bovenaan sorteren
app,Spraakinvoer,,Spraakinvoer
app,Spraakopname starten,,Spraakopname starten
app,Spraakopname stoppen,,Spraakopname stoppen
app,Standaard (%@),,Standaard (%@)
app,Standaardbestemming,,Standaardbestemming
app,Standaardland,,Standaardland
app,Startdatum,,Startdatum
app,Synchronisatie,,Synchronisatie
app,Synchroniseer met iPhone Kalender,,Synchroniseer met iPhone-kalender
app,Synchroniseer nu,,Synchroniseer nu
app,Systeemtaal,,Systeemtaal
app,Taak,,Taak
app,Taak bewerken,,Taak bewerken
app,"Taak verplaatst
naar Afgerond",,"Taak verplaatst
naar Afgerond"
app,Taak verplaatst\nnaar Afgerond,,"Taak verplaatst
naar Afgerond"
app,Taal en invoer,,Taal en invoer
app,Taken,,Taken
app,Takenweergave,,Takenweergave
app,Teal,,Blauwgroen
app,Tekst,,Tekst
app,Terug,,Terug
app,Terughalen,,Terughalen
app,Terugkerend item,,Terugkerend item
app,Terugzetten,,Terugzetten
app,Terugzetten naar %@,,Terugzetten naar %@
app,Testmelding versturen,,Testmelding versturen
app,Testmelding versturen…,,Testmelding versturen…
app,Tijd,,Tijd
app,Tik achter een dag om iets te schrijven. Klaar? Tik rechtsboven op ✓.,,Tik achter een dag om iets toe te voegen. Klaar? Tik rechtsboven op ✓.
app,Tik eerst op het icoon van het item. Tik daarna op het prullenbakje om het definitief te verwijderen.,,Tik eerst op het icoon van het item. Daarna kun je op het prullenbakje tikken om het definitief te verwijderen.
app,Tik linksboven op de pijlen om de instellingen voor herhalingen aan te passen.,,Tik linksboven op de pijlen om de instellingen voor herhalingen te openen.
app,Tik nu op het prullenbakje om het item definitief te verwijderen.,,Tik nu op het prullenbakje om dit item definitief te verwijderen.
app,Tik om de uitleg in of uit te klappen,,Tik om de uitleg in of uit te klappen
app,Tik om demodata te verwijderen.,,Tik om demodata te verwijderen.
app,Tik op de gekleurde stip om de kleur te wijzigen. Compacte categorieën tonen alleen de titel en eerstvolgende datum.,,Tik op de gekleurde stip om de kleur te wijzigen. Compacte categorieën tonen alleen de titel en eerstvolgende datum.
app,Tik op de pijl linksboven om je laatste invoer ongedaan te maken. Dit kan voor maximaal drie invoeren.,,Tik op de pijl linksboven om je laatste invoer ongedaan te maken. Dit kan voor maximaal drie laatste invoeren.
app,Tik op de weekdag vóór de lijn om de verplaatsmodus te openen.,,Tik op de weekdag links van de lijn om iets te verplaatsen.
app,Tik op het plusje om direct nog een taak aan te maken.,,Tik op het plusje om meteen nog een taak toe te voegen.
app,Titel,,Titel
app,Titel is verplicht,,Titel is verplicht
app,Titel laten zien,,Titel laten zien
app,Toch niet? Tik onderin op Ongedaan maken. Normaal heb je hiervoor 5 seconden; tijdens deze uitleg blijft de melding staan.,,Toch niet? Tik onderaan op ‘Ongedaan maken’. Normaal kan dat 5 seconden lang; tijdens deze uitleg blijft de melding staan.
app,Toegevoegd,,Toegevoegd
app,Toegevoegd.,,Toegevoegd.
app,Toekomstige items ook verplaatsen?,,Toekomstige items ook verplaatsen?
app,Toetsenbord sluiten,,Toetsenbord sluiten
app,Toon details,,Toon details
app,Toon feestdagen in overzicht,,Toon feestdagen in overzicht
app,Toon in widget,,Toon in widget
app,Toon ook items die eerder zijn verwijderd,,Toon ook items die eerder zijn verwijderd
app,Toon volgende datum,,Toon volgende datum
app,Tweede,,Tweede
app,Type,,Type
app,Uitgeklapt,,Uitgeklapt
app,Uitleg over Afgerond,,Uitleg over Afgerond
app,Uitleg over Agenda,,Uitleg over Agenda
app,Uitleg over Taken,,Uitleg over Taken
app,Uitleg over herhalingen,,Uitleg over herhalingen
app,Vandaag,,Vandaag
